Date;Close
01/12/2009;1.115,10 
01/11/2009;1.095,63 
01/10/2009;1.036,19 
01/09/2009;1.057,08 
01/08/2009;1.020,62 
01/07/2009;987,48 
01/06/2009;919,32 
01/05/2009;919,14 
01/04/2009;872,81 
01/03/2009;797,87 
01/02/2009;735,09 
01/01/2009;825,88 
01/12/2008;903,25 
01/11/2008;896,24 
01/10/2008;968,75 
01/09/2008;1.166,36 
01/08/2008;1.282,83 
01/07/2008;1.267,38 
01/06/2008;1.280,00 
01/05/2008;1.400,38 
01/04/2008;1.385,59 
01/03/2008;1.322,70 
01/02/2008;1.330,63 
01/01/2008;1.378,55 
01/12/2007;1.468,36 
01/11/2007;1.481,14 
01/10/2007;1.549,38 
01/09/2007;1.526,75 
01/08/2007;1.473,99 
01/07/2007;1.455,27 
01/06/2007;1.503,35 
01/05/2007;1.530,62 
01/04/2007;1.482,37 
01/03/2007;1.420,86 
01/02/2007;1.406,82 
01/01/2007;1.438,24 
